"API","Region","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.4418-1-WORL-QBTU.A","    World","8.664034678014968","8.886185058911918","9.239624578688856","9.825211736745354","10.211564577459725","10.337915378029372","10.398342764336727","10.41898084435923","10.846847699543451","11.07460787928181","10.98473128480901","11.23847568216055","11.458439202652963","11.880131327871068","12.164473548465853","12.725729277759415","12.975107569726518","13.247907206884902","13.134979724184907","13.368983851040335","13.568066553819715","13.188470269733536","13.61373673130891","13.91685549101799","14.921479817185535","15.821418371741467","16.637350644828192","17.527388764344607","19.080729038558818","19.941098865104436","22.057728681931","23.078714286574527","24.20728467904857","26.01464166704844","27.386215102555923","28.087462208599213","29.82717332910574","31.35507134172935","33.403957531111274","34.95287074803357","36.114970363318875","38.068876472912216","40.592298717000375","42.23110765535148"
"INTL.4418-1-AFG-QBTU.A","        Afghanistan","0.0024260327011539655","0.0024601541174852446","0.0024123841346214534","0.0025454576583134434","0.0025829912162778504","0.0026273490575085138","0.0024328569844202213","0.0025795790746447225","0.0025386333750471875","0.002559106224845955","0.0025795790746447225","0.002330492735426383","0.0016139429924695156","0.0016037065675701318","0.001593470142670748","0.0014058023528487112","0.0012317831295591863","0.0010987096058671967","0.001023642489938382","0.001023642489938382","0.0010645881895359173","0.0016992465332977141","0.0018937386063860068","0.002149649228870602","0.0019278600227172862","0.0020131635635454847","0.0021735342203024976","0.002552281941579699","0.0018493807651553435","0.0026481631214705943","0.0025635420089690215","0.002031247914201063","0.0025181605252484196","0.003019745345318227","0.00341214163312794","0.00352815444865429","0.0036168701311156165","0.0037124100968431986","0.003292716675968462","0.004357304865504379","0.0035963972813168486","0.003169879577175856","0.0028389018387624462","0.0028769471224318567"
"INTL.4418-1-ALB-QBTU.A","        Albania","0.009960041427100457","0.010297843448780123","0.010553754071264718","0.010806252552116187","0.011058751032967653","0.011311249513819122","0.011481856595475518","0.013576911558216073","0.012669281883804041","0.013123096721010058","0.00962223940542079","0.011884489308184615","0.010874495384778745","0.011195236698292772","0.0127375247164666","0.014201333477078486","0.01934343091820229","0.016985641049710884","0.016623954036599324","0.017848912882892254","0.015518420147465871","0.012007326406977221","0.011864016458385848","0.01745992873671567","0.018463098376855284","0.018149181346607514","0.01689351322561643","0.009417510907433115","0.012826240398927926","0.017746548633898417","0.025821381808695684","0.01410169894139115","0.01612544014399933","0.023748505766570463","0.016122369216529518","0.020117987068922333","0.026560110472267886","0.015443353031537056","0.029184047388143272","0.017763609342064057","0.018129732139298683","0.0304943097752644","0.023796275749434253","0.03072974754795023"
"INTL.4418-1-DZA-QBTU.A","        Algeria","0.0008462111250157291","0.0012351952711923142","0.0016173551341026435","0.00079502900051881","0.001760665082694017","0.002180358503568754","0.0008427989833826012","0.0016753615418658185","0.0006175976355961571","0.0008973932495126482","0.00045722697883914394","0.0009895210736071026","0.0006721919017262042","0.001190837429961651","0.0005595912278329822","0.0006517190519274366","0.00045722697883914394","0.00025249848085146756","0.0007267861678562512","0.0006858404682587159","0.00018084350655578083","0.0002320256310526999","0.00019107993145516463","0.0008939811078795203","0.0008462111250157291","0.001873265756587239","0.000737022592755635","0.0007643197258206585","0.0009553996572758232","0.0010338789148377659","0.0005872295750613184","0.001696175605827899","0.002101879246006811","0.0011157703140328363","0.000856447549915113","0.0007540833009212748","0.0011321485938718505","0.002168074793689493","0.0027768008610395177","0.0029787996457206916","0.0029808469307005684","0.002787719714265527","0.0029459906311893372","0.003109508183337486"
"INTL.4418-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000003070927469815146","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00001023642489938382","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.000017221590643641682","0.0000170607081656397"
"INTL.4418-1-AGO-QBTU.A","        Angola","0.0018084350655578083","0.0018084350655578083","0.002047284979876764","0.002047284979876764","0.002047284979876764","0.002047284979876764","0.0022520134778644405","0.0022520134778644405","0.0022520134778644405","0.002275898469296336","0.002449917692585861","0.002439681267686477","0.0028389018387624462","0.003006096778785715","0.003023157486951355","0.0030402181951169945","0.003125521735945193","0.002954914654288796","0.003579336573151209","0.003019745345318227","0.003111873169412681","0.003470148040891115","0.003900077886665235","0.0042344677667117735","0.0059848964245064066","0.007581778708810283","0.008680488314677479","0.008489408383222315","0.010738009719453627","0.011154290998695237","0.012669281883804041","0.013709985081908063","0.018708772574440494","0.016153078491227667","0.01743037951016946","0.018465528477725302","0.02218594450688332","0.026616780824573305","0.03593240350277148","0.03981131551087132","0.043667623180697335","0.043666599538207396","0.044925679800831606","0.047078300221447135"
"INTL.4418-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00001364856653251176","0.00001364856653251176","0.00001364856653251176","0.00000170607081656397","0.00000170607081656397","0.00000170607081656397","0.00000341214163312794","0.00000341214163312794","0","0","0","0","0","0","0"
"INTL.4418-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.82428326625588e-7","0.00000170607081656397","0.00000170607081656397","0.000002047284979876764","0.000002047284979876764","0.000018425564818890877","0.0000170607081656397","0.000020814063962080435","0.0000341214163312794","0.00004435784123066322","0.00005459426613004704","0.00006653676184599483","0.00007847925756194262","0.00007847925756194262"
"INTL.4418-1-ARG-QBTU.A","        Argentina","0.06011325154425255","0.05694304788662458","0.06514934871945666","0.06385933652989231","0.07084281258401355","0.0707889183469407","0.07201377718908261","0.07482268178270224","0.051815346781072115","0.04483808116473728","0.06142491366047444","0.05583922580654588","0.06651324086967268","0.08165302530051051","0.0936626518029614","0.09187762170891055","0.08105088030633144","0.09928297109439149","0.09420454829631122","0.07790402968505467","0.10418324949795228","0.13167014843988645","0.13018334772491136","0.12497752363858548","0.11484360419405674","0.12838304195834507","0.14555684909268035","0.12611185130869462","0.14638236081203906","0.1741803942687364","0.20669112432895978","0.22362690786023898","0.22331128627929703","0.22623367174748688","0.24702669589578408","0.22012101183244132","0.24531630355222456","0.26686454743273946","0.25321243983009345","0.23792326035587186","0.20141002479913703","0.22746132377482559","0.258193924672211","0.21358920567372106"
"INTL.4418-1-ARM-QBTU.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0.010280782740614483","0.014498189799160618","0.011870840741652103","0.006483069102943086","0.005309292381147075","0.004695106887184045","0.005193279565620725","0.004053624260155993","0.004258352758143669","0.0032688316845365666","0.005599324419962949","0.006694621884197018","0.006749216150327066","0.005991720707772662","0.006169152072695316","0.006268104180056026","0.0060770242486008616","0.006834519691155264","0.008656603323245584","0.008417753408926629","0.007858162181093645","0.0073531652193907105","0.00674239186706081","0.007462353751650805","0.0079502900051881","0.007680730816170993","0.007901837593997683","0.008227697119961401","0.006541075510706261","0.008520117657920467","0.01150275937512006","0.008257382752169615"
