"API","Region","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.4417-1-WORL-QBTU.A","    World","7.575901227970802","8.527382587804034","9.51382983625356","10.726581364243433","13.00519382917337","15.308681909625198","16.25970723143459","17.65800877733016","19.240301233048264","19.752576070433182","20.37094119571121","21.20100520276355","21.293920050511076","22.022581864145476","22.42026782489464","23.272314307686226","24.123040615847433","23.89499132337984","24.322625147887553","25.095674473461862","25.666141946907576","26.39748998062402","26.687819049077262","26.311143398441097","27.26505783364225","27.321171774746844","27.686572652162894","27.179389893989654","27.06762588992495","26.70659892418398","27.44284106839499","26.291400909842743","24.536389802426402","24.703320393984946","25.2843133062374","25.549742876122178","25.94584669339173","26.24296208216535","26.778403208543597","27.878531593857137","26.93083181264637","27.99580763104259","26.88554942795203","27.512072032650522"
"INTL.4417-1-AFG-QBTU.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-ALB-QBTU.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-DZA-QBTU.A","        Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-ASM-QBTU.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-AGO-QBTU.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-ATA-QBTU.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-ATG-QBTU.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4417-1-ARG-QBTU.A","        Argentina","0.025890132662445473","0.031151668061268394","0.02068060242228245","0.0381414231960253","0.05068203973911473","0.06417820394562351","0.06357586894355749","0.07252207928797708","0.057216979995155334","0.056532029563840784","0.08302071607140186","0.09087402705112906","0.07965501136580448","0.08638642077699923","0.09238564179609911","0.08275979312086268","0.08100392763739317","0.08720798567898543","0.0834036104648015","0.07895541790667875","0.07005903279043325","0.07656744084916023","0.06309409970600423","0.08229156232527081","0.08560429520408327","0.07456575419800499","0.08373137202171581","0.07868618519921343","0.0801845237451074","0.08884679346355696","0.07832330633262972","0.06899380773046176","0.06909915965946993","0.06709279070035877","0.06144228038134223","0.0776395312061004","0.09138283017082018","0.06743226001684546","0.07612275524689571","0.093127473088457","0.11765454498090733","0.11888902688897748","0.08729049791347049","0.10477899193765046"
"INTL.4417-1-ARM-QBTU.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0.02462352208724874","0.016767445992745572","0.016650191125663433","0.024389012353084466","0.021574895543113183","0.023298542089220595","0.024506267220166602","0.021340385808948908","0.025854698191611177","0.02936061871736707","0.028399128807293547","0.027529097693544093","0.026569952880812212","0.02685136456180934","0.0268161881016847","0.02763697217125966","0.02490493376824587","0.02542085518340727","0.026569952880812212","0.030146226326817387","0.02573744332452904","0.028270148453503195","0.022254973772189577","0.02379101253096557","0.029923661332448667","0.021692309350292694","0.030849981567902748","0.029454638425910947"
