Data;PETR4;VALE5;ITUB4;BBDC4;VALE3;PETR3;USIM5;GGBR4;BBAS3;CSNA3;IBOV
2/3/2009;21.16160145;20.01145389;14.93453037;12.83372769;23.48804141;26.97762885;11.35942779;10.97965487;9.233874791;10.4912292;36234
3/3/2009;20.97552822;20.44734695;14.86341356;12.77218214;23.93973451;26.81935072;11.4057928;11.12777838;9.36075246;10.99974186;36467
4/3/2009;22.30341448;22.42867902;15.75948538;13.43625824;26.36758495;28.5867899;12.33309302;11.85913819;9.762531745;12.00594775;38402
5/3/2009;21.99047313;21.55689291;15.64569848;13.15257524;25.18189055;28.22626748;11.57270684;11.10926294;9.381898738;11.25219495;37368
6/3/2009;21.71136328;21.05759722;15.85904892;13.45560026;24.52048279;27.70746692;11.49547898;10.62786155;9.565166482;11.18727844;37105
9/3/2009;21.7367369;20.42357096;15.67414521;13.06875981;23.95586641;27.77781276;11.00822205;10.47048032;9.48058137;11.07187131;36741
10/3/2009;22.89546568;21.69162349;16.66300858;13.85533539;25.73037503;29.2990415;11.69416627;10.92410856;9.889409414;11.93742477;38794
11/3/2009;23.01387592;21.7788021;16.69892023;13.73283592;25.98848538;29.48369933;11.63739847;11.01668575;9.959897008;11.86529531;38804
12/3/2009;23.30144365;21.47763962;17.12986011;14.093887;25.53679227;30.16077802;11.59955328;11.15555154;10.07972592;12.00955422;39151
13/3/2009;23.42831176;21.08137321;17.23759508;13.99072955;24.85925262;30.24871032;11.59009198;10.80375821;10.28413994;11.66333284;39015
16/3/2009;22.99696017;21.16855182;17.31660072;14.06809764;24.74632934;29.54525194;11.16433349;10.5075112;10.2559449;11.45415742;38607
17/3/2009;23.66513224;21.43801298;17.69726428;14.31309659;25.36740736;30.42457491;11.022414;10.36864541;10.55904156;11.50464804;39510
18/3/2009;23.93578422;21.36668503;18.25030379;14.59033224;25.11736296;30.7763041;11.117027;10.56305751;10.9326258;12.09971604;40142
19/3/2009;24.73928227;21.63614619;17.78345226;14.1261237;25.64971555;31.93701043;11.82662446;10.60008839;11.13703982;12.29807204;40453
20/3/2009;24.61241416;21.47763962;17.52488833;13.86823007;25.28674788;31.93701043;12.18615385;10.7019233;10.92557704;12.18987786;40076
23/3/2009;26.10100003;22.5079323;19.21273618;14.89335726;26.87573969;34.26721631;12.93359651;11.29441732;11.70094058;13.06985721;42438
24/3/2009;25.66964844;21.73917546;18.52323238;14.57743756;25.89975995;33.54617147;12.77275442;11.23887101;11.38352007;12.77412644;41475
25/3/2009;25.73731144;21.93730866;18.58787336;14.69993704;25.97235348;33.70444961;13.1512064;11.81284959;11.39776728;12.87234819;41799
26/3/2009;25.68656419;22.42867902;19.17682453;15.11901419;26.69022288;33.57255116;14.06422181;12.68307519;11.77531833;13.10152946;42588
27/3/2009;25.03530787;22.02448727;19.10500121;15.20282962;26.01268322;32.5789162;14.16829611;12.38682818;12.11012774;13.17410353;41907
30/3/2009;24.34176218;21.12892518;18.55196171;14.7257264;24.54468063;31.46217602;13.31677915;11.60917977;11.8964196;12.79977412;40653
31/3/2009;24.14723107;21.20025313;18.42267974;14.89335726;25.00443969;31.11044683;13.95541687;11.94245766;12.01752088;13.13972634;40925
1/4/2009;24.86615039;21.43801298;18.71873029;15.33177644;25.4077371;32.18322086;14.18721871;12.42385905;12.65152169;13.55989201;41976
2/4/2009;25.79651656;22.74569215;19.61694192;15.78629608;27.0773884;33.76600221;15.06711957;13.11818799;12.9863311;14.13284519;43736
3/4/2009;25.71193782;23.10233192;20.11994043;16.12821422;27.38389443;33.85393451;15.04819697;13.55330079;13.6060847;14.24743583;44390
6/4/2009;25.6189012;22.69814018;20.32113984;16.28949636;26.66602503;33.47582563;14.85424033;13.29408465;13.53484865;14.13284519;44167
7/4/2009;25.34824922;22.35735106;20.36425399;16.19272707;26.08527676;33.16806259;14.61297719;13.01635308;13.456489;13.98005768;43824
8/4/2009;25.27212835;22.41282836;20.33551122;16.39916822;26.29499141;33.06254383;14.75962733;13.10893027;12.3594539;13.92276236;44181
9/4/2009;26.3846646;23.53822497;21.01815206;17.06365064;27.98884055;34.4294276;14.99615982;13.6088471;12.01039728;14.4766171;45538
13/4/2009;26.34188791;24.10884861;20.8744382;17.06365064;28.7147759;34.51816324;14.90154683;14.05321762;12.03176809;14.83566777;45991
14/4/2009;26.09378308;24.04544598;19.89718395;16.48948622;28.73897374;34.2342092;14.57040134;14.21059884;12.2027346;14.70579838;45418
15/4/2009;25.64890547;24.09299795;19.89718395;16.51529136;28.9486884;33.36459995;14.80693383;13.91435183;12.46630797;14.85858589;45272
16/4/2009;25.66601615;24.27411523;20.47203939;16.99913778;29.13252548;33.54207122;15.75306379;14.21059884;13.07181435;15.21763655;46024
17/4/2009;25.25535989;24.03218053;20.33551122;16.9023685;28.89514328;33.14276085;16.42008541;14.30317603;13.11455598;15.37806345;45778
20/4/2009;24.6393755;23.49185969;19.60257053;16.19272707;27.73278908;32.12230101;15.62060559;13.71068201;12.82248819;14.70579838;44433
22/4/2009;24.47682407;23.66927847;19.26484296;16.03789622;28.0602128;31.7584849;15.85240743;14.22911428;12.6800161;15.35514532;44888
23/4/2009;25.04147642;24.24992176;20.0480835;16.74753764;28.85421532;32.39738149;16.06055602;14.16431025;13.26415168;15.31694844;45801
24/4/2009;25.07569778;24.63701729;20.54389632;16.94107621;29.39446446;32.47724357;15.97067368;14.29391832;13.24990447;15.40862095;46771
27/4/2009;24.54526678;23.95153563;19.83251271;16.34110664;28.57590516;31.68749639;15.08131152;13.81251692;12.90797145;14.91588121;45819
28/4/2009;24.66504152;23.79024583;20.26365429;16.51529136;28.07658398;31.76735846;14.83058708;13.66439342;13.07893796;14.90442215;45821
29/4/2009;25.44357734;24.27411523;21.61456458;17.49588678;28.65776109;32.75232404;15.06711957;14.16431025;13.6060847;15.12596404;47226
30/4/2009;25.27247057;24.58056586;21.84450675;17.47653293;29.53361954;32.6902091;15.23269231;14.53461901;13.150174;15.38188313;47289
4/5/2009;27.06053636;26.73378472;23.04642907;18.32165135;32.74237199;35.49425526;16.17409162;15.83069969;13.7770512;16.49316153;50404
5/5/2009;27.4455266;26.52410797;23.61432298;18.78285842;32.4968042;35.93793345;16.13624642;16.66389441;13.9266469;16.39682297;50669
6/5/2009;27.84762752;26.73378472;23.34834735;19.04749663;32.74237199;36.42597946;16.37277891;17.45080053;15.00231119;17.14826374;51499
7/5/2009;27.35997321;25.87088427;21.57996883;18.21485445;31.51453304;35.72496792;16.05582537;16.58057494;14.24720911;16.6627174;50058
8/5/2009;28.23261776;26.41120511;21.8315674;18.71831251;31.96474066;36.96726686;16.55727425;17.05271861;14.48228806;17.2446023;51395
11/5/2009;28.12139836;26.46765654;21.26367348;18.23421823;32.06296777;36.64781856;16.98303273;16.98791458;14.51078247;16.9632937;50976
12/5/2009;27.67652075;26.00798061;20.91862401;17.99539838;31.20348051;35.89356563;16.43900801;16.59909038;14.17597306;16.57023238;50325
13/5/2009;26.93220628;25.08056424;20.36510716;17.33057555;29.95927037;34.91747361;15.80510093;15.60851443;13.78417481;15.81879161;48679
14/5/2009;27.15464508;25.30636997;20.63108279;17.65975967;30.15572461;35.0683242;15.18538581;15.83069969;14.3896812;15.71474596;49446
15/5/2009;26.77821018;25.13701567;20.40823834;17.55648622;29.95927037;34.58915175;15.11442607;15.60851443;14.12149282;15.47197279;49007
18/5/2009;27.98451294;26.71765574;21.39306703;18.46012889;31.92381269;36.24850819;15.98959628;16.93236826;14.85117482;16.43535839;51463
19/5/2009;27.99306828;26.86281656;21.17022258;18.39558299;32.16938048;36.38161164;16.65188725;17.03420317;15.05863343;16.89778348;51346
20/5/2009;28.36094784;26.85475207;21.58715736;18.42785594;32.2676076;36.82528984;16.89788104;16.66389441;14.77248362;17.02495038;51245
21/5/2009;27.80485083;26.05636755;21.55840324;18.26003659;30.95791272;36.11540473;16.40589346;16.20100845;14.55787127;16.44691902;50087
22/5/2009;28.12139836;26.16927041;21.83875593;18.46658348;30.90061357;36.55908292;16.39170151;16.52502862;14.4505651;16.50472216;50568
25/5/2009;28.18984107;26.33056021;21.85313299;18.68603956;31.17892373;36.70993351;16.72757764;16.66389441;14.4505651;16.72437407;50816
26/5/2009;28.86571283;26.69346226;22.67981401;19.08622417;31.82558558;37.57954276;16.91680364;17.31193475;15.05147968;17.20606688;51840
27/5/2009;28.86571283;26.09669;22.78045344;19.10558795;30.9824695;37.70377265;16.94991818;17.94145965;15.0228647;17.31011252;51791
28/5/2009;29.64424865;26.53217246;23.00329788;19.6155006;31.74372965;38.6000026;17.57436396;18.885747;15.41632068;17.99989661;53040
29/5/2009;29.47314188;26.20959286;22.93141258;19.55740928;31.12162458;38.29830143;18.68606665;19.0801591;15.13732462;18.6896807;53197
1/6/2009;30.14901364;27.24991208;23.57287081;19.89950258;32.66051606;39.39862334;19.28212853;19.9040961;15.43062817;19.44112148;54486
2/6/2009;29.55869526;26.57249491;23.27803014;19.5278922;31.54727542;38.24506005;19.48081582;20.59842503;15.80977666;19.46038919;53999
3/6/2009;28.36094784;25.56443365;22.72430499;19.0306542;30.23758054;36.55020936;18.61510691;19.99667329;15.29470702;18.27735167;52086
4/6/2009;29.16514968;26.14507694;23.01195442;19.34707838;30.92517035;37.69489909;18.78067965;20.59842503;15.98862029;18.45846816;53463
5/6/2009;29.07104096;26.20959286;22.81779105;19.19855275;31.25259407;37.5706692;19.08817189;20.73729082;15.59516431;18.74748384;53341
8/6/2009;28.98548757;26.61281736;22.8681297;19.37936656;31.43267711;37.62391058;19.60854336;20.40401293;15.87416037;18.86309011;53630
9/6/2009;28.66894004;26.67733328;22.58048027;19.19855275;31.44086271;37.26896803;19.34835763;19.95964242;15.63093304;18.6896807;53157
10/6/2009;28.98548757;26.97571942;22.6667751;19.33416311;31.71917287;37.57954276;19.40512542;19.89483838;15.77400794;18.80528698;53410
12/6/2009;29.04537494;26.73378472;23.02633689;19.70224838;31.53090423;37.48193356;19.72680961;19.82077663;15.80977666;18.61260986;53558
15/6/2009;28.48927792;26.37088266;22.23530096;19.14689166;30.90879916;36.7365542;19.04086539;18.78391209;15.30901451;17.78409824;52033
16/6/2009;27.84762752;25.95152917;22.09866748;19.08231529;30.36855002;35.93793345;18.37384377;18.09884087;15.0228647;17.14826374;51205
17/6/2009;27.41986058;25.70959447;21.97641647;18.90150148;30.13116783;35.20142766;18.34545987;18.32102613;14.98709598;17.04807164;51045
18/6/2009;27.17175576;25.45153079;21.67438457;18.77880639;29.95108478;34.91747361;18.37857442;18.50618051;14.66517745;16.79373784;50903
19/6/2009;27.3343072;25.3628214;22.00518141;18.9596202;29.91834241;35.35227824;18.51576326;18.4969228;15.0228647;17.00953621;51373
22/6/2009;26.40177528;24.1370189;21.84697423;18.33968712;28.297595;33.89701378;17.6737076;17.63595492;14.60794749;16.05000415;49494
23/6/2009;26.86376357;24.34669564;21.39392637;17.88765258;28.5267916;34.35843909;18.04742893;18.32102613;14.62071377;16.47389382;49813
24/6/2009;26.52155002;23.77411685;21.39392637;17.88765258;27.88012975;33.90588734;18.35492117;18.16364491;14.4691664;16.41609068;49672
25/6/2009;27.59096736;24.74992015;21.88293041;18.46238221;28.81328735;35.27241617;19.39566412;18.92277787;15.37123413;17.14826374;51514
26/6/2009;27.59096736;24.27411523;22.22810972;18.66256893;28.32215177;35.32565755;19.56123687;18.885747;15.29906871;17.20606688;51485
29/6/2009;28.27539446;24.43540503;22.6667751;18.85629802;28.57590516;36.15977255;20.29448758;19.2745712;15.38566721;17.31396606;52137
30/6/2009;27.76207413;24.07250298;22.3647432;18.71423002;28.24029584;35.57411734;19.68423376;18.97832419;15.28463562;16.80915201;51465
1/7/2009;27.20597712;24.29024421;22.38057003;18.66256893;28.34670855;34.66014026;20.19987459;19.06164366;15.40731684;16.78603075;51543
