Data;ABCB4;ALOS3;ALPA4;ALUP11;ABEV3;ANIM3;AZZA3;B3SA3;BPAN4;BRSR6;BBSE3;BBDC3;BBDC4;BRAP4;BBAS3;AGRO3;BRKM5;BPAC11;CAML3;BHIA3;CMIG4;COGN3;CSMG3;CPLE3;CPLE6;CSAN3;CPFE3;CVCB3;CYRE3;DXCO3;DIRR3;ECOR3;ELET3;ELET6;EMBJ3;ENGI11;ENEV3;EGIE3;EQTL3;EVEN3;EZTC3;FESA4;FLRY3;FRAS3;GFSA3;GGBR4;GOAU4;GRND3;GUAR3;HYPE3;MYPK3;IRBR3;ISAE4;ITSA4;ITUB3;ITUB4;JHSF3;KEPL3;KLBN11;RENT3;LREN3;MDIA3;MGLU3;POMO4;MBRF3;LEVE3;MILS3;BEEF3;MOTV3;MOVI3;MRVE3;MULT3;NATU3;ODPV3;PETR3;PETR4;PRIO3;PSSA3;POSI3;QUAL3;RADL3;RAPT4;RCSL4;RAIL3;SBSP3;SAPR11;SANB11;SMTO3;SEER3;SRNA3;CSNA3;SIMH3;SLCE3;SUZB3;TAEE11;TGMA3;VIVT3;TEND3;TIMS3;TOTS3;TUPY3;UGPA3;UNIP6;USIM5;VALE3;VLID3;VBBR3;VULC3;WEGE3;YDUQ3;CDI 252 dias;IBOV;IBRA
02/01/2018;9.728714618;20.24033787;13.25107806;12.07660841;15.88062669;8.103539741;48.05989845;5.743279409;1.530615924;8.0435551;14.37256251;11.6606075;12.63098535;5.781954498;9.424695417;6.842972814;34.79023942;3.711819298;5.89495089;192.4652793;1.703778981;17.04443767;7.091055092;1.178568267;1.357184619;8.852771776;11.17097826;44.2776978;8.823223603;5.779287344;1.107840368;10.61628888;14.4561411;14.99000232;20.37971372;19.45601165;3.525;17.66286747;11.26707169;4.186158579;14.68504513;3.482545602;19.81235644;4.335146066;2436.823704;6.686949501;3.397807244;5.350983847;16.29464807;26.98154128;16.47479225;282.7418833;8.359777916;4.470426421;11.40129183;14.03600846;1.181078135;1.79805653;11.65773307;18.29625893;21.67473022;42.67326505;23.57524839;2.281001353;3.994369736;10.34919885;3.55160889;7.66160702;12.76101217;5.641613275;9.967613606;19.17595178;15.0728128;9.970513475;5.117434863;4.287613802;1.706259432;11.87348728;2.494895156;21.9863764;15.99341044;5.655741899;20.83277679;12.33665238;28.44868694;12.5824972;19.2892453;14.29427703;25.90819655;7.603343572;4.98521355;1.71719991;4.032434058;16.50296291;9.826437046;12.68186964;11.94934999;9.004231377;8.945196623;9.192998244;14.17108873;30.50780555;5.635395219;7.521650518;22.80662892;12.8568619;10.30841054;6.205771871;8.516164063;27.75274691;6.89;77891.04;2989.55
03/01/2018;9.769788805;20.3939187;12.92733013;11.98452098;15.91723486;8.160406687;49.51108543;5.841048024;1.546812918;8.081394405;14.38257824;11.71021321;12.68905212;5.836611732;9.544901068;6.837571889;34.49675131;3.747169958;5.88741259;193.4638022;1.689091231;17.19313505;6.922874994;1.172277995;1.331842998;8.852771776;11.03299396;44.02026932;8.862967854;5.884365296;1.075591591;10.76113391;14.2714964;14.74977792;21.1543812;19.45601165;3.535;17.54419199;11.28935895;4.200593609;14.56554657;3.712769752;19.42461663;4.358246312;2491.244085;6.676638091;3.386574824;5.251299438;16.64156638;26.56124467;16.49598624;282.7418833;8.189828432;4.523115037;11.49017924;14.13197023;1.227008951;1.835423366;11.51041007;18.54546105;21.95064616;42.9771696;23.27795648;2.344684132;3.950595821;10.38378264;3.526360485;7.605323405;12.66854107;5.779775233;10.11254916;19.252921;14.95148366;9.819825614;5.182399414;4.32647435;1.73720972;12.08877579;2.541821084;22.1579216;15.59733261;5.506119098;20.54343267;11.9662679;27.93891278;12.47371481;19.13012229;14.3092292;25.81803832;7.559393609;5.169000224;1.732493039;4.067435294;16.3800031;9.840173911;12.68186964;11.60299202;8.977000839;8.951973287;9.388139832;14.27695599;30.20657218;6.047576404;7.772372202;22.66996408;13.05105409;10.35029033;6.51305444;8.386821843;27.77732862;6.89;77995.16;2993.32
04/01/2018;9.7404501;20.34541949;12.91227208;11.87270053;15.82937524;8.245707105;51.07324554;5.878651338;1.522517427;8.13004494;14.41262541;11.92345474;12.897249;6.002535477;9.636486326;7.059009841;35.02027064;3.760917437;6.030640297;194.9615864;1.669507564;17.42547472;6.816145316;1.167131408;1.324522085;8.831966202;10.95250313;44.37534308;8.935832313;6.032710639;1.086973512;10.97414131;14.17917405;14.9625481;21.65096292;19.14535124;3.5075;17.31673065;11.16228068;4.301638816;14.80454369;4.053242088;19.03599029;4.258145248;2448.917122;7.037537447;3.510131451;5.230610221;16.71515511;26.75638238;16.40414563;285.174252;7.965296632;4.608227417;11.61758453;14.42625299;1.253255132;1.858555216;11.52962611;18.81074073;22.07327547;43.56809513;23.83686527;2.414156254;3.950595821;10.83377989;3.543192755;7.577181598;12.71477662;5.948639848;10.04666936;19.23168812;15.39946818;9.612629805;5.226693426;4.334246459;1.797313183;12.09856163;2.51835812;22.45097798;15.71757053;5.633298479;20.54343267;11.98526197;27.39624997;12.37346436;19.35996664;14.28680094;26.21965225;7.471493683;5.329813565;1.756525098;4.051393061;16.42391732;9.684489447;13.17012162;11.72998994;8.936155031;8.911313302;9.330207173;14.79116839;30.55933231;5.983384253;8.211135149;22.76289617;13.05105409;10.29046206;6.680055836;8.30513202;27.66261399;6.89;78647.42;3016.45
05/01/2018;9.881275884;20.3696691;13.13814273;11.9055889;15.88794832;8.331007523;49.35743034;5.963885515;1.563009912;8.236790959;14.50777478;11.92706901;12.97030054;6.146986737;9.636486326;7.204834834;35.86900653;3.823099171;6.166329703;188.7208186;1.671955523;17.38830037;6.871127271;1.184286696;1.345921676;8.923510728;10.77427342;44.15342198;9.07493719;6.057434863;1.088870499;10.82077598;14.04838406;14.58505262;20.50882497;19.42711301;3.525;17.40573726;11.27218622;4.243898697;14.4327704;4.118093961;19.31070891;4.211944757;2350.960437;6.949890461;3.521363871;5.270107817;16.61107962;27.00405717;16.17807644;288.8647423;8.093068872;4.616333358;11.6975832;14.46783643;1.253255132;1.872790201;11.4207352;18.53742227;21.93838323;43.3570503;23.36714406;2.385209537;3.983426258;10.83812383;3.703099316;7.66160702;12.7687181;6.142488721;10.19160492;19.372356;15.39946818;9.914005527;5.268034504;4.360153491;1.898550577;12.33342182;2.627851952;22.62252318;15.99341044;5.610855059;20.25408855;11.9662679;27.70869219;12.46731584;19.56623721;14.12980313;25.89180414;7.603343572;5.45042357;1.736862504;4.127229072;16.3800031;9.730278995;13.31596312;11.7588531;9.167614608;8.985856607;9.531446935;14.80629228;30.62274986;6.077983213;7.858557781;23.11822476;13.02426896;10.46994686;6.680055836;8.339169446;27.28569448;6.89;79071.47;3032.28
08/01/2018;9.975159741;19.80384496;12.87462697;11.83981217;15.85866178;8.387874469;48.75134636;5.991461278;1.587305403;8.374714451;14.59290842;11.92706901;12.96664796;6.25434916;9.65938264;7.237240388;35.93246342;3.869945884;6.158791403;191.9660179;1.676851439;16.61693269;6.913172296;1.194008026;1.351553148;8.846530104;10.94675378;43.96700826;9.121305482;6.038891695;1.083179538;10.94858043;14.14070641;14.61937039;20.55848314;19.10922793;3.4525;17.50463349;11.41987177;4.186158579;14.49915848;4.118093961;18.80817485;4.235045002;2138.116282;7.1922086;3.566293554;5.302082062;16.60897708;26.72636119;16.35469299;293.56173;8.050891627;4.612280387;11.6323991;14.41985554;1.253255132;1.868341768;11.62570633;18.44899571;21.82801685;42.54663815;23.37011698;2.338894788;3.912293646;10.81640415;3.661018642;7.401295303;12.59148182;5.972079198;9.987377546;19.1308319;15.21747447;9.669137753;5.35071666;4.411967556;2.042319657;12.27144482;2.784271711;22.3723531;15.79006691;5.453751117;20.83277679;12.11822051;28.2760215;12.39266126;19.91161488;14.05504226;25.94098136;7.559393609;5.714616915;1.782741891;4.1053533;16.77523106;9.684489447;13.31596312;11.88296471;9.026923493;8.863876653;9.525348761;14.51893829;30.83678409;6.351644492;7.94474336;23.63208457;12.99078755;10.4101186;6.713456115;8.407244299;27.38402131;6.89;79378.54;3040.27
09/01/2018;9.998630705;19.60176491;12.96497523;11.82007915;15.81473197;8.285513967;48.44403618;5.906227101;1.587305403;8.336095874;14.54282981;11.83671242;12.84611292;6.184075574;9.567797382;7.129221874;36.01178453;3.843467307;6.143714802;192.9645407;1.642580023;16.82139159;6.895384016;1.181427481;1.341979646;8.603104887;10.98124985;44.45523468;9.081561231;6.119245423;1.090767486;10.7781745;13.57907879;14.00165052;20.09169633;19.34041708;3.475;17.50463349;11.41987177;4.135635976;14.20041209;4.134306929;18.26543806;4.188844512;1938.574887;7.23345424;3.560677344;5.3039629;16.66154047;26.86896183;16.16394711;293.1423561;8.102992929;4.539326919;11.46647593;14.26311798;1.246693586;1.841651171;11.49759937;18.29625893;21.95677763;42.54663815;22.80823527;2.327316101;3.863047992;10.42544978;3.610521833;7.387224399;12.59918774;5.863636774;10.04666936;19.18656823;15.0728128;9.876333562;5.35071666;4.411967556;1.82566764;12.35625544;2.768629735;21.7719449;15.56904134;5.423826557;20.54343267;11.72884195;27.8895798;12.09404291;19.77061514;14.03261401;25.85901933;7.396778747;5.869686921;1.789296089;4.106811685;16.95088793;9.505910209;13.12573508;11.85121523;8.936155031;8.877429982;9.528397848;14.51893829;30.71787618;6.398943972;8.030928939;23.54461907;12.82338049;10.4101186;6.746856394;8.543394004;26.91696888;6.89;78863.54;3021.63
10/01/2018;10.03383715;19.35926885;12.61111122;11.70168102;15.81473197;8.245707105;48.48671815;5.853582462;1.554911415;8.374714451;14.48273547;11.76081289;12.71096758;6.11965812;9.527728832;7.091415395;35.62311109;3.81698873;6.264327608;187.9719265;1.667059606;17.14666712;6.900235365;1.196295397;1.346484823;8.436660295;11.49869095;44.47298836;8.889464021;6.045072751;1.096458447;10.3521597;13.03283822;13.42511197;20.15128613;18.72632091;3.4;17.44035094;11.3322908;4.012938224;14.17385685;4.126200445;18.86177848;4.227344921;1932.528178;7.135495844;3.571909764;5.3039629;16.49333765;26.76388768;15.97320123;293.0584813;8.063296699;4.539326919;11.51091964;14.2151371;1.194201225;1.809622455;11.2734122;18.25606504;21.36815695;41.25504378;23.04012296;2.333105445;3.857576252;10.68608602;3.585273429;7.387224399;12.29095074;5.894620324;10.0664333;19.08571201;15.18480893;9.838661597;5.250316899;4.352381382;1.801107089;12.6237351;2.713882819;21.8148312;15.09339431;5.461232257;20.54343267;11.70035083;27.33047266;12.03645223;19.7338326;13.87561619;26.0639244;7.251743869;5.886916922;1.747786168;4.207440238;17.04749921;9.377699474;13.10671227;11.70112677;8.986077685;8.667353394;9.50400515;14.48869051;30.48006037;6.415836644;8.030928939;23.21662345;12.62249202;10.32037619;6.773576618;8.475319151;26.94155059;6.89;78200.57;2997.38
11/01/2018;10.18639842;19.39968486;12.59605317;11.64248196;15.99777285;8.077949616;49.08426573;5.94884419;1.554911415;8.485053245;14.56786911;11.92706901;12.96664796;6.305102306;9.745243819;7.199433908;36.65428554;3.808841475;6.407555315;193.4638022;1.701331022;16.52399683;6.984325414;1.193436183;1.345921676;8.521963148;11.8723984;44.91683056;9.240538233;6.088340143;1.098355434;10.30955822;13.23286998;13.76142612;20.35985045;18.91416209;3.45;17.26728253;11.39926449;4.178941064;14.24024494;4.14403471;18.4798526;4.204244675;1944.621596;7.718090519;3.751628494;5.341579658;16.22736694;26.87646713;16.24872306;301.949208;7.947929531;4.612280387;11.7627673;14.51261859;1.246693586;1.841651171;11.20935872;18.64996517;21.46012893;42.64793967;23.08174382;2.356262819;3.863047992;10.75558902;3.913502687;7.387224399;12.29095074;6.05728396;10.22454482;19.324582;15.14281038;9.807268292;5.380246001;4.468963026;1.976824854;12.88142892;2.846839614;21.95063782;15.30381065;5.573449358;21.70080916;11.94727382;27.69224787;12.07697901;20.02809292;13.83075968;26.0639244;7.458308695;6.231516937;1.741231969;4.213273777;16.98601931;9.309015152;12.93550703;12.17159635;9.122230377;8.701236715;9.4918088;14.23158431;30.59896828;6.82126076;8.461856833;23.67035073;12.669366;10.26054793;6.947258069;8.638698797;27.76913472;6.89;79365.44;3039.27
12/01/2018;10.12185327;19.39968486;12.882156;11.6095936;15.81473197;7.876071959;48.31599027;5.918761539;1.579206906;8.247824838;14.59791628;11.92706901;12.96664796;6.348047275;9.768140133;7.17242928;36.9874342;3.819025543;6.068331798;193.4638022;1.684195314;15.80839066;6.953600204;1.183714853;1.314948583;8.675924397;11.60217917;44.49074205;9.306778651;6.125426479;1.064209669;10.55664681;12.93282235;13.56924661;20.1115596;18.97195938;3.4725;17.35628914;11.49028001;4.106765916;14.01452544;4.343454221;18.36594487;4.204244675;1978.483166;7.718090519;3.84710407;5.28515452;16.01080581;27.39433259;15.98733056;310.2528112;8.074461264;4.624439299;11.61462162;14.49982369;1.227008951;1.814070888;11.05563037;18.31233649;21.64407289;43.42458465;23.05796047;2.321526758;3.764556683;10.75993296;3.736763856;7.246515363;12.37571591;5.941095648;10.20478088;19.23699634;15.4134677;9.78843231;5.421587079;4.481916542;1.914924277;13.26633867;2.737345783;21.88630837;15.29496963;5.453751117;21.12212092;11.99475901;27.85669114;11.9340688;19.93000615;13.96532923;25.62132946;7.423148724;6.036243595;1.723754108;4.200148314;16.9245394;9.309015152;12.98623451;12.06191633;9.076846146;8.728343371;9.476563364;14.06522147;30.66634942;7.027351353;8.634227991;23.80701557;12.38142586;10.21268531;6.940578013;8.703369907;27.03987742;6.89;79349.12;3037.75
15/01/2018;10.26854679;19.31076963;12.94991719;11.77403543;15.97580795;7.705471122;49.97205071;5.936309752;1.538714421;8.22575708;14.57788484;11.95598311;13.05796238;6.344143187;9.816794802;7.17242928;37.85203432;3.869945884;6.143714802;194.462325;1.676851439;15.74333556;6.998879461;1.180855638;1.310443406;8.671763282;12.07362549;44.47298836;9.53199607;6.156331759;1.092664473;10.82077598;13.10207999;13.80260745;19.96258508;18.92861141;3.495;17.45024056;11.67746287;4.15728852;14.45932563;4.307785691;18.66746531;4.196544593;2072.811826;7.640754942;3.830255439;5.320890441;16.1085737;27.26674255;16.31936968;314.530425;8.125322058;4.681180885;11.65017658;14.58938801;1.338555219;1.789159665;11.04922503;18.89112851;22.19590478;43.47523541;23.45633163;2.350473475;3.742669725;11.07704039;3.728347721;7.246515363;12.39112776;6.02630041;10.23772078;19.50771566;15.6701255;10.00818544;5.45111642;4.494870058;1.896953142;13.58927143;2.846839614;22.02211498;15.3197245;5.820326981;21.41146504;12.07073532;27.87313547;12.0599151;19.89322361;14.05504226;25.49019021;7.462703691;6.191313602;1.747786168;4.243899859;17.10019627;9.409752158;13.05598479;11.97821315;9.054154031;8.938419959;9.464367015;14.25427015;30.75354856;7.273984357;8.853609464;23.76328282;12.58901061;10.51182665;6.947258069;8.761233532;26.80225425;6.89;79752.37;3054.17
16/01/2018;10.26267905;19.31885284;12.98003328;11.67537033;16.03438103;7.688411039;50.53545272;5.976419953;1.530615924;8.137486045;14.83829363;12.1547676;13.14562423;6.187979662;9.902655981;7.204834834;39.08151154;3.83939368;6.113561601;190.4682336;1.681747356;15.576051;7.011816392;1.183714853;1.31945376;8.480352;11.92414251;44.81918528;9.459131611;6.218142319;1.191307794;10.59924829;13.24825704;13.93301498;19.7937473;19.13812658;3.4975;17.52935755;11.54695005;4.294421301;14.29335541;3.84733739;18.56025805;4.158044184;2067.974459;7.455149559;3.746012284;5.388600605;16.53643962;27.28925844;16.42533961;316.7111692;8.310157629;4.741975442;11.73017525;14.72373449;1.345116764;1.690404457;11.06844107;19.25287352;22.26948236;43.79602355;23.39687325;2.333105445;3.671537114;10.75558902;3.74517999;7.23244446;12.30636259;6.041792185;10.21136886;18.92381124;15.40413469;10.17770928;5.548563247;4.572591154;1.796115107;13.98722897;2.752987759;22.501012;15.07040765;5.910100662;21.12212092;12.15620866;28.01291226;11.91273892;19.85644107;13.75599881;25.27708895;7.471493683;6.019013594;1.721569375;4.258483707;17.07384774;9.3548047;13.22719003;12.16582372;9.190306723;8.62669341;9.610723206;14.34501351;30.81696611;7.588188047;8.587217675;23.12369136;12.57561805;10.51780948;6.947258069;8.866749554;26.6301823;6.89;79831.76;3058.52
